nor,
neither,neu
work at,
devise,molior
delay,mora
demand,posco
Paphos (–us),Paphos
look at again,
visit again,reviso
temple,templum
Sabaean,
Arabian,Sabaeus
incense,tus
warm,
glow,caleo
things entwined,
garlands,serta
fresh,recens
breathe,
exhale or emit odor,
fragrant or redolent,halo
lane,semita
ascend,ascendo
hill,collis
look at or upon,aspecto
wonder,
astonished,miror
huts,magalia
noise,
an uproar,
din,strepitus
bedding,
coverlet,
(often in pl.) bed,stratum
stand in/on,insto
burning,ardens
wall,murus
roll up,subvolvo
roof,tectum
shut completely,
shut around,concludo
furrow,sulcus
magistracy,magistratus
choose,
collect,
read,lego
consecrated,sanctus
senate,senatus
dig out,effodio
theater,theatrum
foundation,fundamentum
column,columna
cut out,excido
beauty,
ornament,
glory,decus
bee,apis
flowery,floreus
country,rus
train,
exercise,
carry on,exerceo
ripe,
mature,adultus
lead forth,educo
bearing or breeding,
the young,
the new swarm,fetus
fluid,liqueo
honey,mel
tread down,stipo
stretch apart or out,
extend,distendo
nectar,nectar
room,cella
load,
burden,onus
lazy,ignavus
the male bee,
drone,fucus
farm animals,
herd,pecus
an enclosure,
manger,
trough,praesaepe
boil,
(fig.),ferveo
give forth smell,
redolent of,redoleo
the herb thyme,thymum
emit smell,
fragrant,fragro
lucky,
fortunate,
happy,fortunatus
take up,
recognize,
accept,suspicio
wonderful,
extraordinary,mirabilis
grove,
wood,lucus
mark,
impression,
sign,signum
royal,regius
distinguished,
uncommon,egregius
easy,facilis
of Sidon (city),
Sidonian,Sidonius
gift,donum
rich,
opulent,opulentus
goddess,diva
made of copper or bronze,aereus
step,
position,gradus
tie,
bind,
connect,
weave,necto
beam of wood,trabs
door,foris
hinge,cardo
offer,
present,offero
alleviate,lenio
hope,spero
health,salus
dejected,adflictus
well,bene
assured,
trust,confido
purify by atonement,
survey,
review,lustro
separate,singuli
wait,
expect,opperior
an artist,artifex
battle,
fight,pugna
publish,
circulate,vulgo
son of Atreus,Atrides
Priamus,Priamus
both,ambo
cry,
weep,lacrimo
region,regio
look!,en
reward,praemium
praise,
glory,laus
human affairs,
fortunes,mortalia
touch,tango
someone,
something,
some,
any,aliquis
the art of painting,
painting,pictura
feed,pasco
empty,
void,inanis
ample,largus
moisten,umecto
river,flumen
wage war,bello
Pergamum (city),Pergama
by this way or route,hac
Greek,
of Greece,Graecus
youth,
young man,iuventus
Phryges,Phryges
crested,
plumed,cristatus
at distance,procul
Rhesus,Rhesus
snowy,niveus
tent,tentorium
lay waste,vasto
killing,caedes
camp,castra
feeding material,
food,pabulum
taste,gusto
The Xanthus or Scamander (river),Xanthus
drink,bibo
Troilus,Troilus
unfortunate,
unhappy,infelix
unequal,
in unequal combat,impar
meet,
engage,congredior
stick to,
hang on to,haereo
bent back,resupinus
dust,pulvis
write on,inscribo
spear,hasta
equal,aequus
hair,crinis
daughter of Ilium or Troy,
pl.,Ilias
spread out,
explain,pando
mantle,
robe,peplum
beat,tundo
turned away,
from behind,aversus
seize violently,
drag,rapto
breathless,
lifeless,exanimus
sell,vendo
certainly,vero
groaning,
groan,gemitus
friendly (+dat.),amicus
unarmed,inermis
chief,
first,princeps
mix completely,permisceo
belonging the dawn,
eastern,Eous
edge,
line of battle,acies
black,
unlucky,
wicked,niger
Memnon,Memnon
Amazonis,Amazonis
bend like halfmoon,luno
light crescent–shaped shield,pelta
Penthesilea,Penthesilea
1000,
1000th,mille
burn,
glow,ardeo
golden,aureus
tie beneath,
bind under,subnecto
thrust out,
expose,exsero
girdle,cingulum
the breast,
momma,mamma
female warrior,
adj.,bellatrix
assemble,concurro
Dardanian,
Trojan,Dardanus
wondered at,
wonderful,mirandus
amazed or dazed,
bewildered,stupeo
looking at,
look,obtutus
band (esp. of soldiers),
crowd,caterva
Eurotas River,Eurotas
bank,ripa
yoke,
ridge,
chain of hills,iugum
Cynthus,Cynthus
Dian(goddess),Diana
